"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Plantae","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Cymbomonas","Cymbomonas tetramitiformis","Cymbomonas tetramitiformis","mixoplankton","Other","Plankton"," 134545","Species"
"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium capitatum","Cystofilobasidium capitatum",NA,NA,NA," 437666","Species"
"Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Dacrymyces","Dacrymyces","Dacrymyces",NA,NA,NA,"1485672","Genus"
"Chromista","Oomycota","Bigyromonadea","Developayellales","Developayellales incertae sedis","Developayella","Developayella","Developayella",NA,NA,NA," 136141","Genus"
"Protozoa","Choanozoa","Choanoflagellatea","Acanthoecida","Acanthoecidae","Diaphanoeca","Diaphanoeca","Diaphanoeca","zooplankton","Other","Plankton"," 105513","Genus"
"Protozoa","Choanozoa","Choanoflagellatea","Acanthoecida","Acanthoecidae","Diaphanoeca","Diaphanoeca grandis","Diaphanoeca grandis","microplankton","Other","Plankton"," 105571","Species"
"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe","Diaporthe",NA,NA,NA," 437955","Genus"
"Chromista","Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochaceae","Dictyocha","Dictyocha","Dictyocha","phytoplankton","Other","Plankton"," 157258","Genus"
"Chromista","Ciliophora","Litostomatea","Haptorida","Didiniidae","Didinium","Didinium","Didinium","benthos","Macrobenthos","Macrobenthos"," 341301","Genus"
"Chromista","Ciliophora","Litostomatea","Haptorida","Tracheliidae","Dileptus","Dileptus","Dileptus","benthos","Macrobenthos","Macrobenthos"," 415302","Genus"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Uronychiidae","Diophrys","Diophrys apoligothrix","Diophrys apoligothrix","benthos","Macrobenthos","Macrobenthos"," 427694","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Uronychiidae","Diophrys","Diophrys appendiculata","Diophrys appendiculata","benthos","Macrobenthos","Macrobenthos"," 341637","Species"
"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Dioszegia","Dioszegia antarctica","Dioszegia antarctica",NA,NA,NA," 988736","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Naviculales","Diploneidaceae","Diploneis","Diploneis","Diploneis","phytoplankton","Other","Plankton"," 149018","Genus"
"Chromista","Ciliophora","Nassophorea","Microthoracida","Discotrichidae","Discotricha","Discotricha papillifera","Discotricha papillifera","benthos","Macrobenthos","Macrobenthos"," 179270","Species"
"Chromista","Myzozoa","Dinoflagellata incertae sedis",NA,NA,"Duboscquella","Duboscquella","Duboscquella","plankton","Other","Plankton"," 601282","Genus"
"Chromista","Cercozoa","Thecofilosea","Ebriales","Ebriaceae","Ebria","Ebria","Ebria","phytoplankton","Other","Plankton"," 118014","Genus"
"Animalia","Tardigrada","Heterotardigrada","Echiniscoidea","Echiniscoididae","Echiniscoides","Echiniscoides sigismundi","Echiniscoides sigismundi","benthos","Macrobenthos","Macrobenthos"," 136679","Species"
"Chromista","Myzozoa","Ellobiopsea","Ellobiopsida","Ellobiopsidae","Ellobiopsis","Ellobiopsis","Ellobiopsis","algae","Other","Plankton"," 562628","Genus"
"Chromista","Heterokontophyta","Bacillariophyceae","Surirellales","Entomoneidaceae","Entomoneis","Entomoneis","Entomoneis","phytoplankton","Other","Plankton"," 156598","Genus"
"Chromista","Ciliophora","Oligohymenophorea","Sessilida","Vorticellidae","Epicarchesium","Epicarchesium","Epicarchesium","benthos","Macrobenthos","Macrobenthos"," 391846","Genus"
"Chromista","Ciliophora","Oligohymenophorea","Sessilida","Epistylididae","Epistylis","Epistylis","Epistylis","benthos","Macrobenthos","Macrobenthos"," 163583","Genus"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Warnowiaceae","Erythropsidinium","Erythropsidinium","Erythropsidinium","phytoplankton","Other","Plankton"," 231793","Genus"
"Chromista","Ciliophora","Heterotrichea","Heterotrichida","Folliculinidae","Eufolliculina","Eufolliculina","Eufolliculina","benthos","Macrobenthos","Macrobenthos"," 111849","Genus"
"Chromista","Ciliophora","Heterotrichea","Heterotrichida","Folliculinidae","Eufolliculina","Eufolliculina uhligi","Eufolliculina uhligi","benthos","Macrobenthos","Macrobenthos"," 111868","Species"
