ASV_13317	"Polysiphonia stricta"
ASV_7394	"Vertebrata byssoides"
ASV_4528	"Vertebrata fucoides"
ASV_7319	"Vertebrata fucoides"
ASV_5023	"Vertebrata lanosa"
ASV_12160	"Vertebrata lanosa"
ASV_2570	"Vertebrata thuyoides"
ASV_5777	"Rhodomela confervoides"
ASV_3060	"Gelidium pusillum"
ASV_6626	"Catenella caespitosa"
ASV_7902	"Cystoclonium purpureum"
ASV_136	"Dumontia contorta"
ASV_4363	"Dumontia contorta"
ASV_127	"Chondrus crispus"
ASV_211	"Chondrus crispus"
ASV_853	"Chondrus crispus"
ASV_1534	"Chondrus crispus"
ASV_2241	"Chondrus crispus"
ASV_2953	"Chondrus crispus"
ASV_6667	"Chondrus crispus"
ASV_3659	"Peyssonnelia dubyi"
ASV_68	"Mastocarpus stellatus"
ASV_248	"Mastocarpus stellatus"
ASV_942	"Mastocarpus stellatus"
ASV_4797	"Mastocarpus stellatus"
ASV_13215	"Mastocarpus stellatus"
ASV_8073	"Phyllophora pseudoceranoides"
ASV_2967	"Plocamium lyngbyanum"
ASV_1532	"Lomentaria articulata"
ASV_3819	"Sar"
ASV_3820	"Sar"
ASV_7	"Dinophyceae"
ASV_11	"Dinophyceae"
ASV_32	"Dinophyceae"
ASV_36	"Dinophyceae"
ASV_61	"Dinophyceae"
ASV_112	"Dinophyceae"
ASV_170	"Dinophyceae"
ASV_202	"Dinophyceae"
ASV_289	"Dinophyceae"
ASV_310	"Dinophyceae"
ASV_317	"Dinophyceae"
ASV_391	"Dinophyceae"
ASV_433	"Dinophyceae"
ASV_1866	"Dinophyceae"
ASV_2037	"Dinophyceae"
ASV_2052	"Dinophyceae"
ASV_2237	"Dinophyceae"
ASV_2310	"Dinophyceae"
ASV_2756	"Dinophyceae"
ASV_2998	"Dinophyceae"
ASV_3026	"Dinophyceae"
ASV_3507	"Dinophyceae"
ASV_3511	"Dinophyceae"
ASV_4248	"Dinophyceae"
ASV_6605	"Dinophyceae"
ASV_6852	"Dinophyceae"
ASV_7133	"Dinophyceae"
ASV_7745	"Dinophyceae"
ASV_8186	"Dinophyceae"
ASV_8275	"Dinophyceae"
ASV_9829	"Dinophyceae"
ASV_9838	"Dinophyceae"
ASV_10355	"Dinophyceae"
ASV_10513	"Dinophyceae"
ASV_10527	"Dinophyceae"
ASV_11684	"Dinophyceae"
ASV_13077	"Dinophyceae"
ASV_13570	"Dinophyceae"
ASV_13759	"Dinophyceae"
ASV_14061	"Dinophyceae"
ASV_10457	"Pellucidodinium psammophilum"
ASV_216	"Dinophysis"
