ASV_4628	"Clytia hemisphaerica"
ASV_6698	"Clytia hemisphaerica"
ASV_13660	"Clytia hemisphaerica"
ASV_6973	"Clytia paulensis"
ASV_10048	"Obeliidae"
ASV_12769	"Obeliidae"
ASV_568	"Obelia dichotoma"
ASV_616	"Obelia dichotoma"
ASV_2605	"Obelia dichotoma"
ASV_9875	"Obelia dichotoma"
ASV_10527	"Obelia dichotoma"
ASV_12405	"Obelia dichotoma"
ASV_14951	"Obelia dichotoma"
ASV_2896	"Plumularia setacea"
ASV_984	"Dynamena pumila"
ASV_1146	"Dynamena pumila"
ASV_3627	"Dynamena pumila"
ASV_1786	"Muggiaea atlantica"
ASV_15666	"Gonionemus vertens"
ASV_3136	"Rhizostoma octopus"
ASV_9242	"Chrysaora hysoscella"
ASV_9327	"Aurelia aurita"
ASV_12973	"Aurelia aurita"
ASV_1080	"Aurelia solida"
ASV_3990	"Calvadosia campanulata"
ASV_2109	"Haliclystus octoradiatus"
ASV_2766	"Haliclystus octoradiatus"
ASV_14958	"Haliclystus tenuis"
ASV_187	"Pione vastifica"
ASV_14675	"Callyspongia vaginalis"
ASV_5762	"Haliclona cinerea"
ASV_2805	"Haliclona fascigera"
ASV_2126	"Gelliodes wilsoni"
ASV_7540	"Gelliodes wilsoni"
ASV_10156	"Pachychalina tenera"
ASV_1517	"Poecilosclerida"
ASV_6517	"Ophlitaspongia papilla"
ASV_3286	"Phorbas dives"
ASV_3381	"Mycale cecilia"
ASV_7445	"Mycale cecilia"
ASV_8690	"Halichondria (Halichondria)"
ASV_28	"Halichondria bowerbanki"
ASV_441	"Halichondria bowerbanki"
ASV_598	"Halichondria bowerbanki"
ASV_791	"Halichondria bowerbanki"
ASV_794	"Halichondria bowerbanki"
ASV_930	"Halichondria bowerbanki"
ASV_1632	"Halichondria bowerbanki"
ASV_6413	"Halichondria bowerbanki"
ASV_9271	"Halichondria bowerbanki"
ASV_1654	"Halichondria panicea"
ASV_1743	"Halichondria panicea"
ASV_2128	"Halichondria panicea"
ASV_6848	"Halichondria panicea"
ASV_12004	"Halichondria panicea"
ASV_8	"Hymeniacidon"
ASV_305	"Protosuberites denhartogi"
ASV_6699	"Protosuberites mereui"
ASV_2187	"Halisarca dujardinii"
ASV_6920	"Halisarca dujardinii"
ASV_52	"Oscarella"
ASV_870	"Oscarella"
ASV_1026	"Oscarella"
ASV_1321	"Oscarella"
ASV_11532	"Oscarella"
ASV_11856	"Oscarella"
ASV_13890	"Oscarella balibaloi"
ASV_5408	"Boreophyllum"
ASV_1319	"Neoporphyra haitanensis"
ASV_2589	"Neoporphyra haitanensis"
ASV_3427	"Neoporphyra haitanensis"
ASV_14987	"Neoporphyra haitanensis"
ASV_1542	"Porphyra"
ASV_10301	"Porphyra"
ASV_2793	"Porphyra purpurea"
ASV_3380	"Florideophyceae"
ASV_3776	"Ahnfeltia plicata"
ASV_276	"Corallina"
ASV_138	"Corallina caespitosa"
ASV_1959	"Corallina caespitosa"
ASV_892	"Corallina officinalis"
ASV_3200	"Corallina officinalis"
ASV_3638	"Corallina officinalis"
ASV_4363	"Corallina officinalis"
ASV_1427	"Lithophyllum hibernicum"
ASV_4387	"Lithophyllum hibernicum"
ASV_1556	"Lithophyllum orbiculatum"
ASV_17527	"Titanoderma macrocarpum"
ASV_1274	"Melobesia membranacea"
ASV_2584	"Melobesia membranacea"
ASV_7844	"Melobesia membranacea"
ASV_520	"Phymatolithon lenormandii"
ASV_4150	"Phymatolithon lenormandii"
ASV_6313	"Phymatolithon lenormandii"
ASV_11754	"Phymatolithon purpureum"
ASV_17313	"Hildenbrandia rubra"
ASV_6123	"Acrochaetium humile"
ASV_13928	"Acrochaetium luxurians"
