ASV_12711	"Jassa pusilla"
ASV_8128	"Jassa pusilla"
ASV_17273	"Parajassa pelagica"
ASV_11470	"Parajassa pelagica"
ASV_7107	"Aora gracilis"
ASV_2994	"Microdeutopus chelifer"
ASV_11196	"Microdeutopus chelifer"
ASV_19462	"Microdeutopus chelifer"
ASV_10471	"Microdeutopus sp. SFAM14-002"
ASV_5708	"Microdeutopus sp. SFAM14-002"
ASV_5868	"Microdeutopus sp. SFAM14-002"
ASV_7022	"Microdeutopus sp. SFAM14-002"
ASV_3604	"Microdeutopus sp. SFC45-003"
ASV_17138	"Corophium volutator"
ASV_17922	"Gammarus locusta"
ASV_7753	"Gammarus obtusatus"
ASV_5796	"Gammarus obtusatus"
ASV_2193	"Pectenogammarus planicrurus"
ASV_3243	"Pectenogammarus planicrurus"
ASV_1656	"Pectenogammarus planicrurus"
ASV_3176	"Pectenogammarus planicrurus"
ASV_1121	"Apherusa jurinei"
ASV_7261	"Apherusa jurinei"
ASV_32	"Calliopius laeviusculus"
ASV_11315	"Elasmopus rapax"
ASV_1339	"Gammarella fucicola"
ASV_6326	"Gammarella fucicola"
ASV_7662	"Melita palmata"
ASV_8879	"Apohyale perieri"
ASV_226	"Hyalidae sp. C2F4"
ASV_2672	"Hyalidae sp. C2F4"
ASV_3921	"Amphipoda sp. DNAS-1B6-193928"
ASV_3667	"Asellus aquaticus"
ASV_9705	"Asellus aquaticus"
ASV_19813	"Athelges paguri"
ASV_6493	"Dynamene bidentata"
ASV_9438	"Dynamene bidentata"
ASV_3221	"Idotea emarginata"
ASV_6218	"Idotea emarginata"
ASV_9606	"Idotea emarginata"
ASV_11694	"Idotea emarginata"
ASV_12779	"Balanidae"
ASV_18945	"Balanidae"
ASV_222	"Balanidae"
ASV_378	"Balanidae"
ASV_2760	"Balanidae"
ASV_4698	"Balanidae"
ASV_5348	"Balanus"
ASV_539	"Semibalanus balanoides"
ASV_1679	"Semibalanus balanoides"
ASV_1935	"Semibalanus balanoides"
ASV_1987	"Semibalanus balanoides"
ASV_3411	"Semibalanus balanoides"
ASV_3757	"Semibalanus balanoides"
ASV_14505	"Semibalanus balanoides"
ASV_148	"Semibalanus balanoides"
ASV_1184	"Semibalanus balanoides"
ASV_2586	"Semibalanus balanoides"
ASV_731	"Chthamalus montagui"
ASV_1595	"Chthamalus montagui"
ASV_2615	"Chthamalus montagui"
ASV_3369	"Chthamalus montagui"
ASV_18845	"Chthamalus montagui"
ASV_5286	"Chthamalus montagui"
ASV_15001	"Chthamalus stellatus"
ASV_4960	"Chthamalus stellatus"
ASV_12332	"Chthamalus stellatus"
ASV_2077	"Austrominius modestus"
ASV_2407	"Austrominius modestus"
ASV_5153	"Austrominius modestus"
ASV_8225	"Austrominius modestus"
ASV_12419	"Austrominius modestus"
ASV_1906	"Austrominius modestus"
ASV_5742	"Austrominius modestus"
ASV_9642	"Austrominius modestus"
ASV_18412	"Austrominius modestus"
ASV_7969	"Verruca stroemia"
ASV_13587	"Verruca stroemia"
ASV_7256	"Anurida maritima"
ASV_6576	"Diptera"
ASV_3832	"Eristalinus aeneus"
ASV_31	"Teleopsis dalmanni"
ASV_1869	"Teleopsis dalmanni"
ASV_792	"Teleopsis dalmanni"
ASV_2002	"Teleopsis dalmanni"
ASV_10666	"Teleopsis dalmanni"
