ASV_5642	"uncultured dinoflagellate"
ASV_1198	"Gymnodiniaceae"
ASV_112	"Akashiwo sanguinea"
ASV_12	"Nusuttodinium"
ASV_13	"Nusuttodinium"
ASV_848	"uncultured Kareniaceae"
ASV_1580	"uncultured Kareniaceae"
ASV_774	"Takayama acrotrocha"
ASV_73	"Heterocapsa rotundata"
ASV_4449	"Heterocapsa rotundata"
ASV_1982	"Durinskia baltica"
ASV_372	"Pfiesteria shumwayae"
ASV_533	"Protoperidinium cf. depressum"
ASV_884	"Prorocentrum"
ASV_1464	"Prorocentrum lima"
ASV_2763	"Polarella glacialis"
ASV_1535	"Hematodinium sp."
ASV_1876	"Hematodinium sp."
ASV_3426	"Chlorarachnion reptans"
ASV_50	"Cylindrotheca closterium"
ASV_124	"Cylindrotheca closterium"
ASV_129	"Cylindrotheca closterium"
ASV_275	"Cylindrotheca closterium"
ASV_534	"Cylindrotheca closterium"
ASV_354	"Nitzschia frustulum"
ASV_2514	"Nitzschia frustulum"
ASV_5118	"Pseudo-nitzschia"
ASV_1096	"Pseudo-nitzschia cuspidata"
ASV_409	"Pseudo-nitzschia delicatissima"
ASV_60	"Chaetoceros socialis"
ASV_4330	"Stephanopyxis turris"
ASV_120	"Guinardia delicatula"
ASV_205	"Guinardia delicatula"
ASV_465	"Rhizosolenia setigera"
ASV_4290	"Rhizosolenia setigera"
ASV_498	"Thalassiosira nordenskioeldii"
ASV_4892	"Thalassiosira nordenskioeldii"
ASV_378	"Thalassiosira punctigera"
ASV_1093	"Thalassionema nitzschioides"
ASV_1641	"Thalassionema nitzschioides"
ASV_210	"Trieres chinensis"
ASV_236	"Trieres chinensis"
ASV_273	"Trieres chinensis"
ASV_934	"Trieres chinensis"
ASV_227	"Minutocellus polymorphus"
ASV_705	"Ditylum brightwellii"
ASV_1251	"Dictyocha speculum"
ASV_2765	"Dictyocha speculum"
ASV_3645	"Dictyocha speculum"
ASV_304	"Pseudochattonella farcimen"
ASV_1135	"Pseudochattonella verruculosa"
ASV_2625	"Microchloropsis salina"
ASV_103	"Aureococcus anophagefferens"
ASV_872	"Pelagomonas calceolata"
ASV_229	"Dictyota dichotoma"
ASV_2928	"Feldmannia mitchelliae"
ASV_279	"Hincksia hincksiae"
ASV_82	"Pylaiella littoralis"
ASV_226	"Pylaiella littoralis"
ASV_4683	"Acinetosporaceae sp. 16 AP-2014"
ASV_1447	"Acrothrix gracilis"
ASV_357	"Chordariaceae"
ASV_371	"Chordariaceae"
ASV_2315	"Chordaria flagelliformis"
ASV_338	"Chordaria sp. 2GWS"
ASV_842	"Coilodesme japonica"
ASV_1061	"Dictyosiphon foeniculaceus"
ASV_160	"Eudesme virescens"
ASV_3640	"Eudesme sp. 2Churchill"
ASV_482	"Laminariocolax aecidioides"
ASV_1125	"Laminariocolax aecidioides"
ASV_775	"Laminariocolax tomentosoides"
ASV_621	"Laminarionema elsbetiae"
ASV_91	"Leathesia"
ASV_645	"Leathesia marina"
ASV_4698	"Mesogloia vermiculata"
ASV_348	"Microspongium alariae"
ASV_412	"Microspongium alariae"
ASV_704	"Microspongium globosum"
ASV_538	"Microspongium tenuissimum"
ASV_139	"Myrionema strangulans"
ASV_832	"Myrionema strangulans"
ASV_968	"Myrionema strangulans"
ASV_1195	"Myrionema strangulans"
ASV_3197	"Myrionema strangulans"
ASV_96	"Myriotrichia claviformis"
ASV_405	"Myriotrichia claviformis"
ASV_22	"Myriotrichia sp. 1Norway"
ASV_162	"Phaeostroma pustulosum"
ASV_311	"Protectocarpus sp."
ASV_1183	"unclassified Punctaria"
ASV_880	"Stictyosiphon tortilis"
ASV_297	"Chordariaceae sp. 12 AP-2014"
ASV_522	"Chordariaceae sp. 12 AP-2014"
ASV_4492	"Chordariaceae sp. 14 AP-2014"
ASV_1307	"Chordariaceae sp. 4 AP-2014"
ASV_1209	"Ectocarpus"
ASV_754	"Ectocarpus crouaniorum"
ASV_5188	"Ectocarpus fasciculatus"
ASV_212	"unclassified Ectocarpus"
ASV_266	"unclassified Ectocarpus"
ASV_796	"Ectocarpus sp. 10 AP-2014"
ASV_2678	"Spongonema tomentosum"
ASV_731	"Petalonia"
ASV_3004	"Petalonia fascia"
ASV_3374	"Petalonia fascia"
ASV_3155	"Planosiphon gracilis"
ASV_4081	"Scytosiphon"
ASV_651	"Scytosiphon lomentaria"
ASV_56	"Scytosiphon sp. AtlanticComp"
ASV_543	"Scytosiphon sp. AtlanticComp"
ASV_2898	"Scytosiphon sp. groupJ"
ASV_1775	"Ascophyllum nodosum"
ASV_79	"Fucus"
ASV_287	"Fucus serratus"
ASV_413	"Fucus serratus"
ASV_549	"Himanthalia elongata"
ASV_391	"Halidrys siliquosa"
ASV_155	"Chorda filum"
ASV_21	"Laminaria"
ASV_362	"Laminaria"
ASV_622	"Laminaria hyperborea"
ASV_783	"Nuchella vesicularis"
ASV_4547	"Nuchella vesicularis"
ASV_2253	"unclassified Pseudoralfsia"
ASV_3872	"unclassified Pseudoralfsia"
ASV_1475	"Pseudoralfsia sp. 1MP"
ASV_752	"Pseudoralfsia sp. 3MP"
ASV_5330	"Pseudolithoderma roscoffense"
ASV_94	"Fibrocapsa japonica"
ASV_1088	"Anisolpidium ectocarpii"
ASV_1625	"Anisolpidium ectocarpii"
ASV_2791	"Anisolpidium ectocarpii"
ASV_4110	"Anisolpidium ectocarpii"
ASV_5407	"Anisolpidium ectocarpii"
ASV_4581	"Peronospora aparines"
ASV_2827	"[Olpidiopsis] porphyrae var. scotiae (nom. inval.)"
ASV_3459	"Pythium"
ASV_4829	"Pythium"
ASV_1169	"Chloroparvula pacifica"
ASV_4267	"Chloroparvula pacifica"
ASV_4323	"Chloroparvula pacifica"
ASV_374	"Chloropicon roscoffensis"
ASV_5	"Bathycoccus prasinos"
ASV_24	"Bathycoccus prasinos"
ASV_81	"Bathycoccus prasinos"
ASV_211	"Bathycoccus prasinos"
ASV_414	"Bathycoccus prasinos"
ASV_468	"Bathycoccus prasinos"
ASV_506	"Bathycoccus prasinos"
ASV_600	"Bathycoccus prasinos"
ASV_3	"Micromonas pusilla"
